,Item,ValorUnitarioAprovado,Data,idPRONAC
2362886,Tendas,6000.0,2016-06-01 05:28:59,202307
78906,"Folder formato até A5(15,5x21cm)
",1800.0,2009-07-01 00:00:00,111811
392719,Banda/Grupo nacional,60000.0,2011-04-01 00:00:00,133219
807125,Ator/Atriz,4000.0,2011-07-20 00:00:00,136126
2441035,Grupo teatral,14000.0,2017-02-03 16:37:27,207290
753463,Anúncio de 1/8 de página,1500.0,2011-08-29 00:00:00,133847
1764255,Contador,2500.0,2017-04-20 00:00:00,208684
2024642,"Seguro (pessoas, obras e equipamentos - especificar)",2500.0,2015-07-01 17:32:00,186316
865640,Outdoors,200.0,2011-09-01 00:00:00,137442
764820,Coordenador do Projeto,12000.0,2011-07-01 00:00:00,134027
2165446,Material de consumo,15900.0,2015-04-26 00:00:00,190363
1845449,Traseira de Ônibus,600.0,2014-06-06 00:00:00,177353
2335496,Carregador,334500.0,2015-12-24 17:29:46,199832
179826,Assistente de museologia,0.0,2009-12-01 00:00:00,116577
1284576,"Fotografia Artística (Fotógrafo, Tratamento, Revelação, etc.)",3000.0,2013-01-01 00:00:00,154476
1284805,"Banner/faixa adesiva/faixa de lona/saia de palco/testeira/pórtico
",150.0,2012-09-12 00:00:00,154007
144567,Produtor Executivo,6000.0,2009-12-05 00:00:00,115385
275930,Locação equipamento de iluminação,2500.0,2010-01-01 00:00:00,120226
855523,Locação de espaço,4000.0,2016-12-14 14:06:48,203887
2521357,Sonorização,4000.0,2017-06-01 13:10:31,208894
14247,Imagens,350.0,2009-05-20 00:00:00,111468
394196,Uniforme,5.0,2010-06-01 00:00:00,121569
1903435,Assistentes,300.0,2014-07-16 07:36:05,178607
171274,Transporte Local / Locação de Automóvel / Combustível,360.0,2009-12-16 00:00:00,117854
2343939,Costureira,4000.0,2016-06-29 11:14:09,202451
2262050,Mídia impressa,200000.0,2015-12-02 00:00:00,194975
1774642,Edição de imagem,5500.0,2014-05-01 00:00:00,173389
923947,Monitores,0.0,2011-10-26 00:00:00,140863
175051,"Sítio de internet
",10000.0,2010-01-01 00:00:00,115789
2118076,A.R.T. de execução,3500.0,2015-03-27 16:47:10,189570
39198,Correios,2100.0,2010-01-20 00:00:00,118618
2232997,Operador de câmera,2000.0,2016-02-26 00:00:00,197617
2393221,Motoboy,1300.0,2016-11-25 14:07:32,205302
1733155,Hospedagem com Alimentação,120.0,2015-01-10 09:55:46,168288
2403832,Diretor de fotografia,2730.0,2016-03-18 00:00:00,201881
2144259,Armários,8500.0,2016-10-01 00:00:00,202999
1826027,Kits para imprensa,30.0,2014-06-03 07:32:27,174658
2318127,Músico instrumentista,1500.0,2016-04-15 00:00:00,199031
2435131,Elaboração de prestação de contas,6000.0,2016-12-19 20:28:18,206363
1858146,Remuneração para captação de recursos,100000.0,2014-02-23 00:00:00,173210
1526594,Confecção de Convites,1.5,2015-05-08 00:00:00,190968
1224771,Segurança,100.0,2012-08-09 00:00:00,153101
2043852,PIS (trabalhista),72.0,2014-12-23 16:54:17,186806
417651,Demolição de Concreto Armado,0.0,2011-03-11 00:00:00,122869
2182905,Técnico de som,900.0,2015-10-23 16:58:29,193908
2326592,Designer gráfico,6000.0,2016-10-01 00:00:00,202428
344039,Recepcionista,120.0,2010-07-01 00:00:00,121462
273995,Coordenação Administrativo- Financeiro,2500.0,2010-02-25 00:00:00,119643
238554,"Anúncio de 1/3 de página
",4000.0,2010-12-01 00:00:00,128812
2128293,Coordenador de pesquisa,8000.0,2015-09-17 16:58:55,192130
1816785,Elaboração de prestação de contas,5000.0,2014-07-19 16:40:28,171344
697862,Arranjador,1000.0,2013-01-01 00:00:00,133011
1489747,Telefone,250.0,2013-06-01 00:00:00,160786
1545625,Coordenador de produção,5400.0,2013-07-01 00:00:00,161459
1971160,Montagem e desmontagem,875.0,2014-09-10 00:00:00,183199
523392,Ator/atriz coadjuvante,400.0,2011-03-14 00:00:00,127946
1429111,Passagens Aéreas (Descrever os trechos na tela de deslocamentos),250.0,2015-01-10 09:55:46,158680
467472,Folders,1.5,2011-03-01 00:00:00,124252
981798,Locação de Gerador de Energia,16000.0,2014-01-07 10:09:09,145201
2212388,"Seguro (pessoas, obras e equipamentos - especificar)",2000.0,2015-10-26 16:49:38,194794
1209024,Locação de Sala de Espetáculo,2500.0,2014-01-07 10:09:08,168389
1940922,Mídia eletrônica,1300.0,2014-09-17 15:33:46,183391
173544,Auxiliar Administrativo,16000.0,2017-05-02 11:13:49,205146
441654,Hospedagem sem Alimentação,95.0,2010-10-01 00:00:00,124873
1470188,Hospedagem sem Alimentação,150.0,2014-01-07 10:09:08,159541
965999,Frete rodoviário,5000.0,2012-01-01 00:00:00,141678
1826125,Assistente de Coreógrafo,1300.0,2014-02-28 00:00:00,172782
2295489,Locação de ilha de edição,14000.0,2016-01-06 00:00:00,200272
2440523,"Banner/faixa adesiva/faixa de lona/saia de palco/testeira/pórtico
",4000.0,2017-02-03 10:10:45,207103
1942245,Grupo teatral,31581.0,2014-11-07 16:47:40,184071
1438584,Aquisição de equipamento de escritório,0.0,2014-01-07 10:09:08,158232
2336938,Aluguel de ônibus,1200.0,2016-05-23 00:00:00,201819
839654,Camisetas,25.0,2011-08-15 00:00:00,138494
638698,Montador,2200.0,2011-03-01 00:00:00,132182
2045431,Móveis e Utensílios,0.0,2015-03-06 10:22:00,188342
2519959,Refeição,70.0,2017-10-27 09:03:05,215105
2214207,Mobiliário Expositivo,25000.0,2015-12-02 00:00:00,198834
2308301,Produtor Executivo,2000.0,2017-01-19 11:03:59,207343
1577592,Refeição,60.0,2015-01-10 09:55:46,162318
1309658,Hospedagem sem Alimentação,250.0,2013-01-14 00:00:00,157567
1707927,Assistente de produção,2500.0,2013-12-02 16:50:07,167016
493315,Tradutor,2000.0,2010-07-01 00:00:00,124312
402815,"Anúncio de 1/2 de  página
",3666.0,2011-01-03 00:00:00,121813
254138,Assessoria Jurídica (Contratos Inclusive),2000.0,2010-05-05 00:00:00,118593
881295,Aluguel de Caminhões,7000.0,2011-11-01 00:00:00,139584
343977,"Convite Eletrônico/Folder Eletrônico
",550.0,2010-08-02 00:00:00,121733
698211,Locação de palco c/ cobertura,1500.0,2013-12-19 00:00:00,133908
517186,Tradução,900.0,2011-04-01 00:00:00,125654
1853398,Produtor Executivo,1600.0,2014-05-05 00:00:00,173254
34146,Auxiliar Administrativo,1250.0,2010-02-02 00:00:00,118626
810787,Revisão de Texto,3500.0,2014-09-19 09:13:16,183615
174187,Hospedagem com Alimentação,220.0,2009-12-16 00:00:00,117854
2415773,Coreógrafo,2000.0,2016-09-29 00:00:00,203905
826609,Material de escritório,150.0,2012-01-01 00:00:00,137073
1548131,Cantor / Solista,30000.0,2014-01-07 10:09:08,160921
1539506,Transporte Local / Locação de Automóvel / Combustível,0.0,2013-08-07 00:00:00,160630
1913813,Cartaz,150.0,2014-08-13 07:33:57,181245
82464,Companhias e/ou escolas de Dança,3250.0,2009-09-01 00:00:00,113459
846308,Locação de automóveis,600.0,2011-11-11 00:00:00,137605
1576982,Cópias e reproduções,3500.0,2013-08-01 00:00:00,159313
1057913,Mídia radiofônica,8.0,2012-03-01 00:00:00,146226
2483639,Consultoria Técnica,3000.0,2017-07-01 10:01:30,206424
1535621,Instrutor,36.0,2013-10-04 15:20:50,167187
420240,Produtor,3000.0,2010-05-26 00:00:00,122155
202283,Impressão,0.46,2010-01-12 00:00:00,117646
487793,Hospedagem sem Alimentação,200.0,2011-01-01 00:00:00,126260
2412607,Assistente de produção,1500.0,2017-01-04 10:22:55,203944
732700,"Banner/faixa adesiva/faixa de lona/saia de palco/testeira/pórtico
",200.0,2011-09-01 00:00:00,133599
283396,Sonoplasta,10000.0,2011-08-01 00:00:00,120062
1858579,INSS,1700.0,2014-07-15 07:39:57,177550
21316,Locação de Mobiliário,0.0,2009-07-08 00:00:00,111694
907063,"Convite
",0.5,2013-08-30 00:00:00,140783
2049470,Locação de Gerador de Energia,7500.0,2015-02-24 00:00:00,188279
1067323,Refeição,400.0,2012-03-01 00:00:00,147585
32063,Preparador Vocal,4000.0,2009-09-01 00:00:00,112179
1313562,Programa,2.0,2014-01-07 10:09:09,157151
346371,Caixa de Produção,1500.0,2011-01-03 00:00:00,121306
247185,Figuração,300.0,2010-02-01 00:00:00,119122
2086865,Coordenador técnico ,2000.0,2015-06-03 16:37:03,189875
1471187,Remuneração para captação de recursos,100000.0,2013-04-01 00:00:00,159532
1691560,"Banner/faixa adesiva/faixa de lona/saia de palco/testeira/pórtico
",120.0,2015-01-10 09:55:46,167388
2561601,Produtor Executivo,2150.0,2018-01-01 09:06:26,215044
2293780,Editor,3000.0,2017-10-18 14:02:05,214112
122829,Locação e montagem de palco,2500.0,2010-01-01 00:00:00,113213
661940,Varas manuais contrapesadas,9200.0,2010-12-16 00:00:00,131036
2026543,Locação de teatro,75000.0,2015-11-20 17:01:49,194714
885256,Frete rodoviário,100.0,2013-05-31 00:00:00,138750
261350,Locação de Gerador de Energia,800.0,2010-07-01 00:00:00,120852
2453802,Intérprete de libras,200.0,2017-02-22 10:02:21,207643
2365199,"Folder formato até A4(21x29,7cm)
",0.2,2016-12-26 16:11:34,202773
1400374,Direção Artística,20000.0,2012-11-22 00:00:00,156641
1561704,Posto médico,1500.0,2014-01-07 10:09:09,161576
2313167,Preparador Corporal,4500.0,2016-05-10 14:37:55,200510
7610,Clipping,1500.0,2010-12-21 00:00:00,121129
2437629,Material de escritório,0.0,2017-06-01 17:36:15,206131
281612,Remoção e Recolocação,57.97,2010-03-31 00:00:00,120294
1246777,Materiais e equipamentos para montagem,3000.0,2013-01-01 00:00:00,154268
2340584,Consultores,37000.0,2017-07-04 10:47:06,208807
1455478,Camisetas,30.0,2013-12-16 00:00:00,169370
2485271,Maestro,0.0,2017-06-01 17:36:52,209057
2565956,Impressão do catálogo,25.0,2017-08-08 14:21:19,209845
1032145,Carpetes,6.0,2012-01-01 00:00:00,143381
2029424,Produção Gráfica,8000.0,2015-01-10 09:55:46,184465
2294832,Apresentador / Maitre,0.0,2016-03-02 08:48:41,200775
1935300,Preparação Técnica,850.0,2014-10-21 00:00:00,183801
468558,Técnico de som,500.0,2011-03-01 00:00:00,126057
585771,Banda/Grupo nacional,30000.0,2011-06-10 00:00:00,126679
853910,Coordenador de produção,2200.0,2012-03-05 00:00:00,138335
1881242,Material de apoio pedagógico,750.0,2017-11-30 14:19:30,215789
1829241,Limpeza,0.0,2014-04-10 00:00:00,172911
31343,Cartaz,1.0,2009-08-03 00:00:00,112095
1214812,Cartão postal,0.5,2014-01-07 10:09:08,156140
1873446,Coordenador de produção,3000.0,2017-06-02 10:39:17,209471
747618,"Livro
",29.45,2011-06-01 00:00:00,135229
141554,Contador,20.0,2010-03-15 00:00:00,115102
2484576,Instrutor,5000.0,2017-03-09 00:00:00,208325
1567046,Grupos Circenses,2500.0,2014-07-16 00:00:00,180014
1442923,Aluguel de vans,600.0,2013-04-01 00:00:00,158056
1458606,Pesquisa,2500.0,2013-03-25 00:00:00,159355
1114129,Comercial de TV (criação),8000.0,2012-09-30 00:00:00,149225
897171,"Folder formato até A4(21x29,7cm)
",750.0,2011-11-01 00:00:00,138827
1848771,Cartaz,1.4,2015-01-10 09:55:46,174985
457689,Assistente administrativo,1500.0,2011-02-02 00:00:00,125110
926496,"Seguro (pessoas, obras e equipamentos - especificar)",100.0,2011-09-05 00:00:00,138818
172825,Cantor / Solista,2500.0,2010-03-01 00:00:00,116784
33754,Músico de Base,350.0,2009-09-02 00:00:00,112099
1366899,Visagista,1000.0,2015-01-10 09:55:46,157865
36097,Arranjador,1500.0,2009-10-20 00:00:00,113039
674286,Impressão,30.0,2011-05-20 00:00:00,132954
956344,Folders,0.8,2017-02-20 20:07:32,207603
903215,Folders,0.0,2011-11-01 00:00:00,138470
2480101,Locação de Gerador de Energia,2100.0,2016-12-26 16:11:34,207128
2327051,Músico Complemento- Cachê de ensaio,250.0,2016-06-30 15:57:42,201860
2390303,Sítio de Internet - Design e criação,5000.0,2016-07-01 11:20:57,203386
623677,Armários,750.0,2011-01-02 00:00:00,127724
2330678,Aluguel de objetos de cena,4400.0,2016-03-18 00:00:00,201818
712448,Projeto de Iluminação,7000.0,2011-05-02 00:00:00,133818
2500494,Transporte de material,150.0,2017-06-16 10:21:05,208293
1277490,Material de escritório,300.0,2012-09-01 00:00:00,154006
117488,Assessor de imprensa,2000.0,2009-07-20 00:00:00,115135
468888,Professor,550.0,2010-05-10 00:00:00,123203
248459,Hospedagem sem Alimentação,370.0,2009-12-14 00:00:00,117750
2079472,Remuneração para captação de recursos,93492.0,2015-01-14 00:00:00,188050
1852177,Contador,0.0,2014-04-28 18:10:15,176045
324881,Advogado,5000.0,2014-12-16 00:00:00,187614
2177001,Marcador de Página,0.0,2015-08-31 08:33:39,192334
766104,Auxiliar Administrativo,2000.0,2011-07-02 00:00:00,134270
1304619,Mídia radiofônica,8000.0,2014-01-07 10:09:08,156619
1687171,Clipping,1800.0,2013-12-17 00:00:00,167366
1096784,Diretor de produção,6000.0,2015-01-10 09:55:47,147656
1915300,Produtor Executivo,3000.0,2014-07-09 00:00:00,177374
2252946,Títulos e letreiros,3000.0,2015-11-14 00:00:00,194774
2213515,Produtor,6000.0,2015-11-20 17:01:49,194839
1297742,Instalação provisória de força de luz,30000.0,2015-01-10 09:55:47,184688
1846298,Coordenação geral,3380.0,2014-03-10 00:00:00,172576
632531,Assistente administrativo,1200.0,2011-01-27 00:00:00,130725
